rank,player,team,position,pos_rank,pts,floor,pp90
156,Noah Okafor,LEE,FWD,35,174.43,134.93,9.23
157,Ruben Dias,MCI,DEF,45,174.36,107.04,6.54
158,Evanilson,BOU,FWD,36,173.88,117.36,7.45
159,Hayden Hackney,EVE,MID,60,172.32,152.17,7.75
160,Viktor Gyokeres,ARS,FWD,37,171.98,85.1,9.11
161,Victor Munoz,LIV,FWD,38,169.77,127.63,10.91
162,Kristoffer Ajer,BRE,DEF,46,169.29,134.54,6.35
163,Haji Wright,COV,FWD,39,168.72,101.48,7.59
164,Cristhian Mosquera,ARS,DEF,47,168.33,116.06,7.57
165,Joao Gomes,AVL,MID,61,167.68,166.23,6.29
166,Kevin,FUL,FWD,40,167.57,144.46,10.05
167,Antonio Silva,BOU,DEF,48,167.51,128.57,6.28
168,Emile Smith Rowe,FUL,MID,62,167.48,122.77,7.18
169,Kjell Scherpen,IPS,GK,19,167.09,149.81,4.4
170,Joe Gelhardt,HUL,FWD,41,165.92,133.33,7.47
171,Jeremie Frimpong,LIV,DEF,49,164.42,108.93,7.4
172,Johan Manzambi,AVL,MID,63,163.9,120.16,8.19
173,Joelinton,NEW,MID,64,163.06,153.98,7.34
174,Mateus Fernandes,TOT,MID,65,162.97,143.31,7.33
175,Dejan Kulusevski,TOT,MID,66,162.47,121.14,10.44
176,Eberechi Eze,ARS,MID,67,162.05,100.54,9.72
177,James Justin,LEE,DEF,50,161.85,129.7,6.07
178,Lisandro Martinez,MUN,DEF,51,161.69,123.14,5.2
179,Patrick Dorgu,MUN,DEF,52,161.26,114.1,10.37
180,Juanlu,BOU,DEF,53,161.04,126.26,5.57
181,Trai Hume,SUN,DEF,54,160.94,121.82,5.57
182,Estevao,CHE,FWD,42,160.43,130.42,10.31
183,Jacob Murphy,NEW,MID,68,159.71,114.02,10.27
184,Milan van Ewijk,COV,DEF,55,158.42,118.23,5.09
185,Joachim Andersen,FUL,DEF,56,157.28,136.16,5.44
186,Sepp van den Berg,BRE,DEF,57,156.25,124.42,7.03
187,Tyler Adams,BOU,MID,69,154.91,153.54,6.97
188,Mathys Tel,TOT,FWD,43,154.72,119.77,9.95
189,Julio Enciso,IPS,,70,154.59,120.69,6.96
190,Ibrahim Sangare,NFO,MID,71,152.84,149.85,6.88
191,Tarik Muharemovic,LEE,DEF,58,152.62,125.12,5.72
192,Caleb Yirenkyi,COV,MID,72,152.57,150.71,6.54
193,Ben White,ARS,DEF,59,151.98,90.44,9.77
194,Daichi Kamada,CRY,MID,73,151.68,164.14,5.46
195,Piero Hincapie,ARS,DEF,60,150.72,95.12,9.69
196,Jack Rudoni,COV,MID,74,149.71,105.43,8.42
197,Tatsuhiro Sakamoto,COV,MID,75,149.37,121.14,7.47
198,Shea Charles,FUL,DEF,61,149.31,106.22,7.47
199,Josh King,FUL,MID,76,147.28,125.29,7.36
200,Dara O'Shea,IPS,DEF,62,147.12,127.39,4.73
201,Oscar Bobb,FUL,MID,77,147.07,131.97,8.27
202,Kenny Tete,FUL,DEF,63,146.7,114.46,6.6
203,Gabriel Gudmundsson,LEE,DEF,64,146.69,126.56,5.08
204,Omari Hutchinson,NFO,FWD,44,146.33,116.77,10.97
205,Yehor Yarmolyuk,BRE,MID,78,146.01,150.77,5.48
206,Kobbie Mainoo,MUN,MID,79,145.76,131.53,7.29
207,Habib Diarra,SUN,MID,80,145.74,116.77,5.47
